khz,actualKHZ,perchanKHZ,chans,samp,ADCSbits
150.00000000,149.8127,150.0000,1.0000,255.0000,249
300.00000000,300.0300,150.0000,2.0000,190.0000,164
600.00000000,600.0600,150.0000,4.0000,153.0000,100
500.00000000,500.0000,500.0000,1.0000,238.0000,79
1000.00000000,1000.0000,500.0000,2.0000,238.0000,39
2000.00000000,2000.0000,500.0000,4.0000,238.0000,19
1000.00000000,1000.0000,1000.0000,1.0000,238.0000,39
2000.00000000,2000.0000,1000.0000,2.0000,238.0000,19
4000.00000000,4000.0000,1000.0000,4.0000,238.0000,9
2000.00000000,2000.0000,2000.0000,1.0000,238.0000,19
4000.00000000,4000.0000,2000.0000,2.0000,238.0000,9
8000.00000000,8000.0000,2000.0000,4.0000,238.0000,4
4000.00000000,4000.0000,4000.0000,1.0000,238.0000,9
8000.00000000,8000.0000,4000.0000,2.0000,238.0000,4
16000.00000000,16000.0000,4000.0000,4.0000,113.0000,4
8000.00000000,8000.0000,8000.0000,1.0000,238.0000,4
16000.00000000,16000.0000,8000.0000,2.0000,113.0000,4
32000.00000000,32051.2821,8000.0000,4.0000,144.0000,1
16000.00000000,16000.0000,16000.0000,1.0000,113.0000,4
32000.00000000,32051.2821,16000.0000,2.0000,144.0000,1
64000.00000000,64102.5641,16000.0000,4.0000,144.0000,0
32000.00000000,32051.2821,32000.0000,1.0000,144.0000,1
64000.00000000,64102.5641,32000.0000,2.0000,144.0000,0
128000.00000000,128205.1282,32000.0000,4.0000,66.0000,0
64000.00000000,64102.5641,64000.0000,1.0000,144.0000,0
128000.00000000,128205.1282,64000.0000,2.0000,66.0000,0
256000.00000000,256410.2564,64000.0000,4.0000,27.0000,0
96000.00000000,96153.8462,96000.0000,1.0000,92.0000,0
192000.00000000,192307.6923,96000.0000,2.0000,40.0000,0
384000.00000000,384615.3846,96000.0000,4.0000,14.0000,0
100000.00000000,100000.0000,100000.0000,1.0000,88.0000,0
200000.00000000,200000.0000,100000.0000,2.0000,38.0000,0
400000.00000000,400000.0000,100000.0000,4.0000,13.0000,0
125000.00000000,125000.0000,125000.0000,1.0000,68.0000,0
250000.00000000,250000.0000,125000.0000,2.0000,28.0000,0
500000.00000000,500000.0000,125000.0000,4.0000,8.0000,0
250000.00000000,250000.0000,250000.0000,1.0000,28.0000,0
500000.00000000,500000.0000,250000.0000,2.0000,8.0000,0
1000000.00000000,769230.7692,250000.0000,4.0000,1.0000,0
500000.00000000,500000.0000,500000.0000,1.0000,8.0000,0
1000000.00000000,769230.7692,500000.0000,2.0000,1.0000,0
1000000.00000000,769230.7692,1000000.0000,1.0000,1.0000,0
